"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","padj_bon"
"ENSMUSG00000034826",569.343530882629,-0.0469603719264351,0.0470819970986453,-0.997416737188199,0.318562270539859,0.87596728648745,1
"ENSMUSG00000003847",2544.71968309852,0.137790224386828,0.138165994469459,0.997280299801167,0.318628473317475,0.87596728648745,1
"ENSMUSG00000022092",337.074655628886,0.0664939798141168,0.0666777935364543,0.997243254274198,0.318646450273848,0.87596728648745,1
"ENSMUSG00000002763",1239.29133168745,0.0587349286467841,0.0588991161080533,0.997212395157713,0.318661425678971,0.87596728648745,1
"ENSMUSG00000021686",2626.76163610615,-0.0568526975002623,0.0570153368125079,-0.997147446260286,0.318692945781489,0.87596728648745,1
"ENSMUSG00000090963",40.7973964514822,-0.248643022469931,0.249401401586317,-0.996959202668619,0.318784313096065,0.87596728648745,1
"ENSMUSG00000024516",4105.57830044412,-0.0625301247214654,0.0627263680592671,-0.996871437899668,0.318826917120741,0.87596728648745,1
"ENSMUSG00000058317",401.851110829833,0.0655415750392558,0.0657483217471331,0.996855483115259,0.318834662519938,0.87596728648745,1
"ENSMUSG00000073411",18158.9196705243,-0.120796062284942,0.121206052042754,-0.996617415129835,0.318950249481285,0.87596728648745,1
"ENSMUSG00000054387",2195.44862095484,0.0670280377105228,0.0672602474343278,0.996547593375541,0.318984154597736,0.87596728648745,1
"ENSMUSG00000071064",320.875425289719,-0.159061603569766,0.159622139971323,-0.996488354299365,0.319012922665274,0.87596728648745,1
"ENSMUSG00000020723",81.5497086567629,0.178186817388669,0.1788360633306,0.99636960280919,0.319070596654835,0.87596728648745,1
"ENSMUSG00000023050",225.791161980206,0.0762501342563684,0.0765441175666201,0.996159295846662,0.319172753099614,0.87596728648745,1
"ENSMUSG00000035673",1196.75772060042,0.0749795991275477,0.07530525874712,0.995675473068012,0.319407850902203,0.87596728648745,1
"ENSMUSG00000030231",3101.65551299573,-0.0671669127537961,0.0674615967234968,-0.995631826342497,0.319429065166824,0.87596728648745,1
"ENSMUSG00000037685",248.929180348027,0.107951332659355,0.108434548453189,0.995543710000852,0.319471896467125,0.87596728648745,1
"ENSMUSG00000056050",2505.83134595399,-0.0638140010338341,0.064114647638235,-0.995310796900931,0.319585128189688,0.87596728648745,1
"ENSMUSG00000043822",418.058459279862,0.183145994540423,0.184035348083021,0.995167485204,0.319654812844317,0.87596728648745,1
"ENSMUSG00000046470",209.235829287931,0.110690745048916,0.111242738553218,0.995037936754518,0.319717813736196,0.87596728648745,1
"ENSMUSG00000030201",1490.95414998757,0.0891803724115582,0.0896303591624694,0.994979527527101,0.319746221467578,0.87596728648745,1
"ENSMUSG00000020257",2190.92416826857,-0.041599168627841,0.0418125968337578,-0.994895600319554,0.319787042935421,0.87596728648745,1
"ENSMUSG00000108461",62.5063628148917,0.14103316690635,0.141777227044333,0.99475190654032,0.319856942260896,0.87596728648745,1
"ENSMUSG00000027376",177.225108701915,0.158260403423112,0.159126574624752,0.994556715597737,0.319951908202727,0.87596728648745,1
"ENSMUSG00000048329",25.3617003747218,0.215366230328136,0.216572790141814,0.994428848550695,0.320014129150855,0.87596728648745,1
"ENSMUSG00000074738",116.185932067433,0.11021189130838,0.110831258496555,0.994411620001649,0.320022513281266,0.87596728648745,1
"ENSMUSG00000090031",144.379979701475,0.140190379867993,0.140999552722595,0.994261167223749,0.32009573598128,0.87596728648745,1
"ENSMUSG00000042705",952.648855930355,-0.060757434341217,0.0611098379184636,-0.994233275864407,0.320109311415043,0.87596728648745,1
"ENSMUSG00000037003",2699.67711916256,0.0805999199621405,0.08108656724978,0.993998422868976,0.320223635269953,0.87596728648745,1
"ENSMUSG00000029410",30.4989401379193,0.214366672855294,0.215698490959111,0.993825556693072,0.320307801676633,0.87596728648745,1
"ENSMUSG00000029290",579.383299514266,0.0710613782218981,0.071504443384722,0.993803669508481,0.320318459307957,0.87596728648745,1
"ENSMUSG00000001348",411.002113763681,-0.123479867194183,0.124276538508973,-0.993589527642566,0.320422744659063,0.87596728648745,1
"ENSMUSG00000052137",206.069612260776,0.0923711290914346,0.0929687246136447,0.993572080022679,0.320431242486062,0.87596728648745,1
"ENSMUSG00000052727",3195.12403495943,0.0973085174066146,0.0979427335479271,0.9935246228246,0.320454357161029,0.87596728648745,1
"ENSMUSG00000019775",2858.76242642554,-0.0622959475318082,0.0627029867006826,-0.99350845645013,0.320462231462867,0.87596728648745,1
"ENSMUSG00000028461",1472.67483396772,-0.0580406218740926,0.058420949423177,-0.993489877298478,0.320471281134045,0.87596728648745,1
"ENSMUSG00000034255",897.48279755318,0.0915718507640705,0.092175253061647,0.993453749487697,0.320488879014672,0.87596728648745,1
"ENSMUSG00000044847",197.837277703171,-0.0940330585617819,0.0947151500915372,-0.992798496026283,0.320808163025905,0.87667743234308,1
"ENSMUSG00000037940",73.4790154672439,0.158726911079989,0.160050282305366,0.991731528327754,0.321328506799965,0.877936652289082,1
"ENSMUSG00000037366",553.497588169667,0.0530939630121582,0.0535476321335195,0.991527746358044,0.321427950795312,0.878045632494957,1
"ENSMUSG00000017176",803.425242346916,-0.142199340479613,0.143443480052002,-0.991326621663546,0.321526117765182,0.878045768970404,1
"ENSMUSG00000061013",43.884886778034,-0.188599273043849,0.190281671967591,-0.991158376388302,0.321608251652488,0.878045768970404,1
"ENSMUSG00000022052",1638.03327459014,-0.0423171775139275,0.0426971973275235,-0.991099654371201,0.321636921759708,0.878045768970404,1
"ENSMUSG00000060147",3306.72973995014,0.0720744158842847,0.0727338732166001,0.990933284546093,0.321718158287722,0.878045768970404,1
"ENSMUSG00000025993",8169.04377321235,0.0907664667876422,0.0915983938770503,0.990917667284376,0.321725784709904,0.878045768970404,1
"ENSMUSG00000052516",28.5718161790938,-0.206081260728475,0.20802421067186,-0.990659981657376,0.321851638110458,0.878113285421909,1
"ENSMUSG00000030316",197.922094714099,0.083080806974725,0.0838754871988215,0.990525477101399,0.321917342763234,0.878113285421909,1
"ENSMUSG00000039105",4362.12570518843,-0.0472508619675516,0.0477158723280551,-0.990254597939518,0.322049692145126,0.878113285421909,1
"ENSMUSG00000026915",714.96297280893,0.0415728796701108,0.0419841883693089,0.990203247575492,0.32207478552379,0.878113285421909,1
"ENSMUSG00000026131",6576.06711286135,0.106724101378634,0.107787210325987,0.990136965748184,0.322107177345967,0.878113285421909,1
"ENSMUSG00000022382",1514.55379783522,-0.238965405558854,0.241346163822345,-0.990135504017193,0.322107891715504,0.878113285421909,1
"ENSMUSG00000108414",482.403394476024,-0.12541221420528,0.126682231653876,-0.989974778372509,0.322186447020357,0.878165056095605,1
"ENSMUSG00000064337",7349.65064415633,0.105574277196652,0.106679773627997,0.989637244308376,0.322351458841265,0.878302848241534,1
"ENSMUSG00000054408",4345.24848881719,-0.071136618742374,0.0718833285109542,-0.989612198209959,0.322363705439049,0.878302848241534,1
"ENSMUSG00000025228",4132.44365587791,-0.0339652447570588,0.0343257816170882,-0.989496616157171,0.322420224637523,0.878302848241534,1
"ENSMUSG00000023055",1839.76043589722,0.0701218965329915,0.0708785374454854,0.989324823285528,0.32250424266408,0.878302848241534,1
"ENSMUSG00000014075",184.034035416299,0.1093379642366,0.110532651744122,0.98919154214912,0.322569435753717,0.878302848241534,1
"ENSMUSG00000024376",395.001620198858,0.15905412987301,0.160800355011301,0.989140414906621,0.322594446396792,0.878302848241534,1
"ENSMUSG00000052676",786.757302789721,0.0633111085611685,0.0640375474309504,0.988656047913684,0.322831453866965,0.878314830692288,1
"ENSMUSG00000028274",668.920932514038,-0.0724800995007363,0.0733159808706834,-0.98859891990777,0.322859414874852,0.878314830692288,1
"ENSMUSG00000021779",109.009628840142,0.259461058896318,0.262502749095634,0.988412730115037,0.322950555469355,0.878314830692288,1
"ENSMUSG00000035441",1994.7518142255,0.0711808677478687,0.0720163922293079,0.988398134708291,0.322957700684133,0.878314830692288,1
"ENSMUSG00000020105",51.6551577867523,0.167807754867139,0.169789567186611,0.988327832196577,0.32299211888366,0.878314830692288,1
"ENSMUSG00000017588",33.964628175224,-0.358396188185739,0.362635459829009,-0.988309825946781,0.323000934639015,0.878314830692288,1
"ENSMUSG00000022244",334.397755055294,-0.0652238532239834,0.0659973877866629,-0.988279315460486,0.323015872754093,0.878314830692288,1
"ENSMUSG00000071451",233.074546267503,0.133125222136649,0.134722072275718,0.988147078558881,0.323080621932325,0.878328897132265,1
"ENSMUSG00000097275",56.4252811747673,0.196549493768369,0.198974359426802,0.987813175197958,0.323244153802221,0.878376939172837,1
"ENSMUSG00000052488",1311.32746560058,0.0499567258653256,0.0505757713453607,0.987760038778095,0.323270182768958,0.878376939172837,1
"ENSMUSG00000024851",644.685052843909,-0.0729046592107449,0.0738210853529345,-0.987585848436009,0.323355519788011,0.878376939172837,1
"ENSMUSG00000036450",1420.61626253608,0.0726367000794515,0.0735538700051477,0.987530636720652,0.323382571442611,0.878376939172837,1
"ENSMUSG00000015023",1295.5383312071,-0.0426453593776472,0.0431963173895685,-0.987245255030597,0.323522421204502,0.878376939172837,1
"ENSMUSG00000037152",552.205754107384,-0.0888374542716203,0.0900267991694715,-0.986788990513677,0.323746093042581,0.878376939172837,1
"ENSMUSG00000097867",52.0789872193896,0.152919350901386,0.154971658098874,0.986756886887162,0.323761834805362,0.878376939172837,1
"ENSMUSG00000019494",2818.337047665,-0.0628774429790408,0.0637239643785701,-0.986715807659104,0.323781978411635,0.878376939172837,1
"ENSMUSG00000008958",1778.94970190884,-0.0489356394360809,0.049598734414334,-0.986630808505842,0.323823661180792,0.878376939172837,1
"ENSMUSG00000005779",4440.95342664931,-0.0635021517218162,0.0643680851083281,-0.986547162540961,0.323864683772093,0.878376939172837,1
"ENSMUSG00000031698",225.677309292684,0.143129755807441,0.145127834186192,0.986232286935477,0.32401913895258,0.878376939172837,1
"ENSMUSG00000025666",60.3427414502439,0.199105543042898,0.201893552931748,0.986190693816793,0.324039545112922,0.878376939172837,1
"ENSMUSG00000031488",882.424340832315,0.0889303905155086,0.0901803582851158,0.986139245913669,0.324064787325094,0.878376939172837,1
"ENSMUSG00000108231",22.4274047849712,-0.216032071713688,0.219086928975961,-0.986056414791369,0.324105429976636,0.878376939172837,1
"ENSMUSG00000037134",899.294531588369,-0.0598095458465668,0.0606598089089512,-0.985983090324919,0.324141410778313,0.878376939172837,1
"ENSMUSG00000026718",831.619920920924,0.0444433910911674,0.0450796269731256,0.985886398697631,0.324188861977693,0.878376939172837,1
"ENSMUSG00000097399",21.522652234795,0.282754181181473,0.286803483997009,0.985881263508017,0.324191382186987,0.878376939172837,1
"ENSMUSG00000048271",1476.54479853991,0.0711862143814321,0.0722210875929331,0.985670761186345,0.324294701896472,0.878376939172837,1
"ENSMUSG00000006169",4179.28133449552,-0.03500131725198,0.0355102742233228,-0.985667331991244,0.324296385207127,0.878376939172837,1
"ENSMUSG00000097075",29.5034838419089,0.158777292769502,0.161125265466355,0.985427656612033,0.32441405026982,0.878376939172837,1
"ENSMUSG00000033721",498.311435610851,-0.114294844989492,0.11599403305945,-0.985351073454897,0.324451653491091,0.878376939172837,1
"ENSMUSG00000113290",21.8675834619756,0.430692648518626,0.437113140499593,0.985311601537239,0.324471035770164,0.878376939172837,1
"ENSMUSG00000053293",1063.16022877071,0.0713000012798975,0.0723706214425004,0.985206425739296,0.324522684944083,0.878376939172837,1
"ENSMUSG00000029624",590.020296528469,-0.0594048659348776,0.0603105415195116,-0.984983129618543,0.324632357764432,0.878376939172837,1
"ENSMUSG00000033313",165.902209718064,-0.0848466610562712,0.0861499531321197,-0.984871819096062,0.324687037401688,0.878376939172837,1
"ENSMUSG00000033987",44.5016139289628,-0.190222091026377,0.193156321982162,-0.984809034849734,0.324717881872354,0.878376939172837,1
"ENSMUSG00000056300",34.756744901489,0.190730827353792,0.1936864141412,0.984740350527355,0.32475162710049,0.878376939172837,1
"ENSMUSG00000042035",592.693110841448,-0.146175039391857,0.148529146365699,-0.984150538588255,0.325041500991279,0.878376939172837,1
"ENSMUSG00000029322",26357.3701573388,-0.217691414031942,0.221226798895412,-0.984019183565814,0.325106080741199,0.878376939172837,1
"ENSMUSG00000059434",31.449489499624,0.197044238619976,0.200285863686993,0.983815008172106,0.325206478674165,0.878376939172837,1
"ENSMUSG00000066392",22.3097673683457,-0.27232922348093,0.276856027271049,-0.983649249630795,0.325288000954043,0.878376939172837,1
"ENSMUSG00000079628",70.0940986396696,-0.121771250086002,0.123797725922841,-0.983630750712638,0.325297099795334,0.878376939172837,1
"ENSMUSG00000025869",824.594088394284,-0.0903541633565394,0.0918601894792485,-0.983605236052237,0.325309649657385,0.878376939172837,1
