"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","padj_bon"
"ENSMUSG00000026181",1540.01453905345,-0.159681322417403,0.0437042787981053,-3.65367709544095,0.000258511340374129,0.115491899731388,1
"ENSMUSG00000022299",784.951955583749,0.182191005426668,0.0501509313137558,3.63285388035647,0.000280303765112413,0.116812230882847,1
"ENSMUSG00000045466",326.847354435304,0.299400410479536,0.0824369137910359,3.63187311012718,0.000281371473936269,0.116812230882847,1
"ENSMUSG00000026175",33.3240705302976,-1.33653837246696,0.368359642157479,-3.62835180487979,0.00028523640451621,0.116812230882847,1
"ENSMUSG00000039704",1181.25403926425,0.208537332985623,0.0577481646784991,3.61115083304572,0.000304841297944711,0.120339626103005,1
"ENSMUSG00000024640",456.125617112935,-0.507807879751741,0.141279010613313,-3.59436180609754,0.000325187689671889,0.120339626103005,1
"ENSMUSG00000046230",320.017092534892,0.345696262870982,0.0963329499552744,3.58855680254246,0.000332513552155367,0.120339626103005,1
"ENSMUSG00000087006",43.5258389638106,-0.450462264674524,0.125723096738283,-3.58297143771639,0.000339707764989013,0.120339626103005,1
"ENSMUSG00000106990",96.4853228809227,0.420748773604398,0.117504460202368,3.58070470584502,0.000342668754665259,0.120339626103005,1
"ENSMUSG00000034041",52.351417582617,-0.583406166179872,0.163340240528121,-3.57172344238975,0.000354639796660091,0.120339626103005,1
"ENSMUSG00000024663",127.461269983999,-0.441898255400568,0.123865076725614,-3.56757745671496,0.000360296892902798,0.120339626103005,1
"ENSMUSG00000030796",966.852335138424,-0.225025884352037,0.0630847701356468,-3.56703977629116,0.000361036695256365,0.120339626103005,1
"ENSMUSG00000006398",235.65373273945,-0.575608961602935,0.161820573770045,-3.55708145257786,0.000374997909402651,0.120339626103005,1
"ENSMUSG00000030254",236.113652560019,-0.283091866407911,0.0796536942213857,-3.55403310763087,0.00037937145246869,0.120339626103005,1
"ENSMUSG00000026972",267.222884942305,-0.185498423420657,0.0522370172515715,-3.55109141334207,0.000383637144871549,0.120339626103005,1
"ENSMUSG00000059456",400.334703494531,-0.297634718968791,0.084894067338874,-3.50595428277355,0.00045497335985327,0.139743171756599,1
"ENSMUSG00000062157",434.56561762182,-0.247769688701314,0.0709214708368435,-3.49357797825872,0.000476593773576715,0.140754522882683,1
"ENSMUSG00000036748",650.76802810034,-0.193725731086742,0.055458769401805,-3.49314875133954,0.000477360519849022,0.140754522882683,1
"ENSMUSG00000066027",21.4525567574632,0.687555633665338,0.197392389239017,3.48319221584981,0.000495472481052788,0.14295511549396,1
"ENSMUSG00000021892",391.729611839288,-0.258509992071435,0.0743163795456752,-3.47850626809065,0.000504216645573217,0.14295511549396,1
"ENSMUSG00000020737",1171.54035630656,-0.210177791617157,0.0605277606682567,-3.47241975081664,0.000515789190824176,0.143476981892846,1
"ENSMUSG00000001506",1098.09604473272,-0.761632906850386,0.2210941341692,-3.44483543044846,0.000571407171014629,0.156004739301272,1
"ENSMUSG00000063065",1123.77703615896,-0.191951770942583,0.0560980343148846,-3.42172008853529,0.000622263395985218,0.166800531763819,1
"ENSMUSG00000039878",61.0026442205853,-1.03390269242353,0.30298540215542,-3.41238450786211,0.000643972082267679,0.166829995318701,1
"ENSMUSG00000043019",1876.75474071566,0.252459456748172,0.0739927704395139,3.41194761661949,0.000645005069060976,0.166829995318701,1
"ENSMUSG00000041126",863.531854211926,-0.234459843422899,0.0689866239139119,-3.39862759069759,0.000677248651714057,0.172149601245178,1
"ENSMUSG00000030108",315.345125246802,-0.350886261220833,0.103524417194391,-3.38940581101714,0.000700442673411071,0.172477815396999,1
"ENSMUSG00000024807",3821.15528395688,0.218738593281281,0.0645471047475193,3.38882114289856,0.000701937795823099,0.172477815396999,1
"ENSMUSG00000051579",961.306712823284,-0.253577052494551,0.0753723239247961,-3.36432578021027,0.000767309113634853,0.175419126817754,1
"ENSMUSG00000028597",211.893014096853,-0.34680967597478,0.10313181713508,-3.36278062007319,0.000771616569489179,0.175419126817754,1
"ENSMUSG00000034867",872.888656394323,0.146635620396675,0.0436106652304391,3.36237981287034,0.000772737564149804,0.175419126817754,1
"ENSMUSG00000026873",115.462763634052,-0.377940499350572,0.112433096157376,-3.36147017441872,0.000775287291382193,0.175419126817754,1
"ENSMUSG00000017493",798.146670780093,-0.299334689318746,0.0890651053885805,-3.36085258096068,0.00077702286211802,0.175419126817754,1
"ENSMUSG00000024803",19.7924646341163,-0.909065805608319,0.270962121089252,-3.35495530502171,0.000793778083100457,0.175419126817754,1
"ENSMUSG00000024507",4360.79427583314,-0.110416604642457,0.0329231687113274,-3.3537660244856,0.000797197415504951,0.175419126817754,1
"ENSMUSG00000025949",800.159280895795,0.15749102961066,0.0471347852420749,3.34129091289623,0.000833897984828615,0.179165322787992,1
"ENSMUSG00000113581",51.0466369905235,-1.16326148353948,0.348714367797233,-3.33585762722539,0.000850367010336392,0.179165322787992,1
"ENSMUSG00000035000",118.394694625632,-0.444742546760816,0.133402522687359,-3.33383910440068,0.000856561900605565,0.179165322787992,1
